,phrase,target
0, the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year ,positive
1, up from EUR6 .1 m in the corresponding period in 2007 ,positive
2, 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market ,positive
3,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago ,positive
4, shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month ,positive
5,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 ,positive
6, the Lithuanian Brewers ' Association reporting citing the results from its members ,positive
7,Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 ,positive
8, has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland ,positive
9,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 ,positive
10,Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million ,positive
11, 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom ,positive
12, along with high-growth products ,positive
13,0,positive
14,The Department Store Division reported an increase in sales of 4 per cent ,positive
15, increase from 2005 ,positive
16, and will fasten the planning and building processes ,positive
17, Brazil ,positive
18, up slightly from EUR 37.2 mn in the corresponding period in 2006 ,positive
19, up from EUR 1.3 mn ,positive
20, up by about 5 % from the third quarter of 2006 ,positive
21,Sales have risen in other export markets ,positive
22,The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 ,positive
23,Olvi expects sales and market share to increase in the first quarter of 2010 ,positive
24,Cision says the sale will return its U.K. operation to profitability ,positive
25, the value of the company 's orders has gone up to EUR 1.9 bn in 12 months ,positive
26, said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year ,positive
27, as the number of chargers delivered went up by 41 % to 65.9 million pieces ,positive
28, surpassing the 953 mln eur consensus figure ,positive
29, soaring base metal prices and proceeds from the sale of its technology unit ,positive
30,Unit costs for flight operations fell by 6.4 percent ,positive
31,Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 ,positive
32, up from 0.33 eur a year ago and ahead of forecast of 0.33 eur ,positive
33,Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India ,positive
34,Revenues at the same time grew 14 percent to 43 million euros ,positive
35, while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m ,positive
36, from  x20ac 569 million ,positive
37, a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year ,positive
38,27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) ,positive
39, '' Chief Executive Jussi Pesonen said ,positive
40,Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn ,positive
41, will make the company 's operations more profitable ,positive
42, Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group ,positive
43,SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) ,positive
44, to 256.88 million litres from 245.92 million litres in 2004 ,positive
45,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn ,positive
46,The company expects net sales to significantly increase from 2009 ,positive
47,000 from EUR7 .4 m for the corresponding period of 2009 ,positive
48,28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier ,positive
49,Nordea sees a return to positive growth for the Baltic countries in 2011 ,positive
50,Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 ,positive
51,Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago ,positive
52,With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients ,positive
53,The Group also has a strong global position in other fishing categories ,positive
54,Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 ,positive
55, at comparable exchange rates ,positive
56,007 in the corresponding period in 2005 ,positive
57,The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) ,positive
58,000 from EUR 7.4 million for the corresponding period of 2009 ,positive
59,in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year ,positive
60, or by 6 % at comparable currency rates growth ,positive
61, 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 ,positive
62,Viking Line manages well with its current ferries ,positive
63, an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 ,positive
64, grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 ,positive
65,` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC ,positive
66,It will also strengthen Ruukki 's offshore business ,positive
67, with better pricing seen carrying through the second quarter of 2006 ,positive
68,Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies ,positive
69, up from EUR -0.3 mn year-on-year ,positive
70,Both the net sales and operating profit were record high in the company 's history ,positive
71, as compared to the corresponding quarter in 2006 ,positive
72, rebounding from yesterday s 3.5 percent slide ,positive
73, as compared to the corresponding period in 2006 ,positive
74,Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London ,positive
75,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 ,positive
76,Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 ,positive
77, Wysockiego and Zgody ,positive
78, a rise of 20.4 percent from 12.49 million euros in 2004 ,positive
79,This new partnership agreement represents a significant milestone for both parties ,positive
80,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 ,positive
81,Olvi has posted a strong set of figures for the first six months of this year ,positive
82,Finnish Bank of +ï¿½land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 ,positive
83, said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago ,positive
84,`` The trend in the sports and leisure markets was favorable in the first months of the year ,positive
85,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier ,positive
86, as compared to the corresponding period in 2007 ,positive
87, an increase of 20 % year-on-year EUR0 .25 ,positive
88, up from EUR 96.4 mn ,positive
89, boosted its sales last year 22.3 per cent to 36.4 million liters ,positive
90,Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 ,positive
91, Morocco and Ireland ,positive
92,`` The combined activities will create value for shareholders and be good for our employees and customers ,positive
93,000 from EUR 1.5 million in the same period of 2009 ,positive
94, compared to a loss of EUR 2.2 mn in the first quarter of 2005 ,positive
95,15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V ,positive
96, compared to a negative 4.1 % in 2009 ,positive
97, compared with EUR 54.3 mn a year earlier ,positive
98, up from the EUR0 .08 per share paid in 2009 ,positive
99, 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR ,positive
100,The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % ,positive
101,027.0 mn in the fourth quarter of 2007 ,positive
102,The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 ,positive
103,Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million ,positive
104, an increase of 10.8 pct year-on-year ,positive
105, head of Specialty Stainless ,positive
106, they added ,positive
107, was up 34.9 % in August compare to last year ,positive
108,Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 ,positive
109, posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres ,positive
110,0,positive
111,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 ,positive
112, from 256.88 million liters sold in 2005 ,positive
113, the deal is likely to bring savings of EUR 20mn-25mn ,positive
114, the Finnish company said Thursday ,positive
115,000 for the corresponding period of 2006 ,positive
116,408 mn ,positive
117,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board ,positive
118,Sales increased due to growing market rates and increased operations ,positive
119, 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian miner,positive
120,It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago ,positive
121, Chief Technology Officer at Benefon ,positive
122, up from EUR97m in the previous year ,positive
123, the company said earlier ,positive
124,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before ,positive
125, and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 ,positive
126,The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific ,positive
127,`` Demand for sports equipment was good in 2005 ,positive
128,000 tonnes in 2009 ,positive
129,The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 ,positive
130, compared to 13.1 % in the previous-year period ,positive
131,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+ï¿½rbindelsen bridge in Gothenburg in Sweden ,positive
132, up from the loss of EUR0 .02 ,positive
133,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % ,positive
134, said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila ,positive
135,Net sales surged by 30 % to EUR 36 million ,positive
136,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 ,positive
137,455.1 mn in 2006 ,positive
138, according to TeliaSonera estimates ,positive
139, OKO said ,positive
140, from an EUR9 .6 m loss a year earlier ,positive
141,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 ,positive
142,000 in the corresponding period a year earlier ,positive
143,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ,positive
144,Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory ,positive
145, which was 36 % more than in 2004 ,positive
146, its market share rose to 49.14 percent from 48.51 percent a year earlier ,positive
147,000 in the corresponding period in 2005 ,positive
148,Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million ,positive
149, with international orders amounting to 365 mln euro $ 534.3 mln ,positive
150,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market ,positive
151, compared with last year 's 0.12 eur ,positive
152,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % ,positive
153,Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier ,positive
154,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 ,positive
155,The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 ,positive
156, up from EUR 164.7 mn ,positive
157, up from a loss of EUR 19mn a year earlier ,positive
158, as of fiscal year 2008 ,positive
159, to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods ,positive
160, the proportion of the paid standing orders grew in 2009 ,positive
161,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 ,positive
162,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased ,positive
163,Performance in the second half of 2009 exceeded expectations ,positive
164,Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 ,positive
165,Marimekko Group 's full-year net sales are estimated to increase by about 10 % ,positive
166, the company 's Swedish operations significantly improved in the first quarter ,positive
167, Bulgaria ,positive
168, up from an operating loss of EUR 0.8 mn year-on-year ,positive
169,The company 's market share is continued to increase further ,positive
170, as compared to the corresponding period in 2005 ,positive
171, compared to a loss of EUR 0.3 mn in the corresponding period in 2009 ,positive
172, up from the 0.20 eur of the same quarter a year earlier ,positive
173,Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 ,positive
174, starting from fiscal year 2007 ,positive
175,Operating profit improved to EUR 20.3 mn from EUR 11.4 mn ,positive
176, CEO Pekka Eloholma said ,positive
177, but also strengthen our capability to offer industry-leading products for our customers in China . ',positive
178, Head of YIT International Construction Services ,positive
179,000 net loss in the fiscal 2004-05 ,positive
180, 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group ,positive
181, the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 ,positive
182, posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters ,positive
183, EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators ,positive
184,The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million ,positive
185, western Sweden ,positive
186,Return on capital employed rose by 4.8 percentage points to 19.6 % ,positive
187,This resulted in improved sales figures in Sweden ,positive
188, which is 20 times more that in 2004 ,positive
189, up from EUR 29.6 mn a year earlier ,positive
190,It estimates the operating profit to further improve from the third quarter ,positive
191, up from EUR 37.3 mn in the corresponding period in 2008 ,positive
192, the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted ,positive
193,Pretax profit jumped to EUR 21.9 million from EUR 3.1 million ,positive
194, supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations ,positive
195,Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects ,positive
196, up from EUR 0.5 mn in the corresponding period in 2009 ,positive
197,These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 ,positive
198, and operations speeded up ,positive
199, up from EUR 763mn in 2004 ,positive
200,EBIT margin was up from 1.4 % to 5.1 % ,positive
201, compared with 0.90 eur a year ago ,positive
202, as compared with EUR472m in 2008 ,positive
203, from (  x20ac ) 40.8 million a year earlier ,positive
204, up from EUR 23.5 mn year-on-year ,positive
205,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m ,positive
206, both in terms of technology and pricing ,positive
207, an increase of 11.2 % from a year earlier ,positive
208, and above market expectations of 0.28 eur ,positive
209, narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago ,positive
210, compared to 2007 ,positive
211, which Ruukki will recognize during the fourth quarter of this year ,positive
212,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn ,positive
213, '' says development manager Juha Malkia from VR Cargo ,positive
214,000 for 2008 versus a net loss of EUR 65.3 millio,positive
215,The policy was also aimed at making the companies more profitable and competitive ,positive
216, the broker gave an `` outperform '' recommendation on the stock ,positive
217,Operating profit margin increased from 11.2 % to 11.7 % ,positive
218, the number of outlets will rise to 60-70 ,positive
219, the previous year ,positive
220,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 ,positive
